name_comb,median_WT,median_KO,rratio,pvals
"chr1:4910575:5069285:-:NM_001177795||14:0||gene:1000:1000||Rgs20:-:4909575:5070285||5018769, 5022849, 5022967, 5023354, 5024022||Neil1_vs_WT||chr1:4910575:5069285:-:NM_001177795||14:0||gene:1000:1000||Rgs20:-:4909575:5070285||5018769, 5022849, 5022967, 5023354, 5024022||",2.4685413902899995,1.522991346116,-0.4737779227261849,0.022186073971203805
"chr1:24178609:24251738:+:NM_007740||12:0||gene:1000:1000||Col9a1:+:24177609:24252738||24221987, 24224112, 24228082, 24228942, 24231465, 24231916, 24231997||Neil1_vs_WT||chr1:24178609:24251738:+:NM_007740||7:0||gene:1000:1000||Col9a1:+:24177609:24252738||24221987, 24224112, 24228082, 24231465, 24231916, 24231997||",2.416449880925,1.685366534194,-0.3564680974196112,0.01903629741865624
"chr1:24196202:24251738:+:NM_001290691||12:0||gene:1000:1000||Col9a1:+:24195202:24252738||24221987, 24224112, 24228082, 24228942, 24231465, 24231916, 24231997||Neil1_vs_WT||chr1:24196202:24251738:+:NM_001290691||7:0||gene:1000:1000||Col9a1:+:24195202:24252738||24221987, 24224112, 24228082, 24231465, 24231916, 24231997||",2.416449880925,1.685366534194,-0.3564680974196112,0.01903629741865624
"chr1:33909224:34307662:+:NM_001276764||13:0||gene:1000:1000||Dst:+:33908224:34308662||34150574, 34151002, 34151850, 34153235, 34155005, 34156740, 34156927, 34158922, 34159988||Neil1_vs_WT||chr1:33909224:34307662:+:NM_001276764||13:0||gene:1000:1000||Dst:+:33908224:34308662||34150574, 34151002, 34151850, 34153235, 34155005, 34156740, 34156927, 34158922, 34159988||",3.44835290766,2.16798441164,-0.4559443007883937,0.032165680273904755
"chr1:33909224:34307662:+:NM_001276764||10:0||gene:1000:1000||Dst:+:33908224:34308662||34175707, 34175813, 34176967, 34177886, 34178652, 34179810, 34180435, 34181629||Neil1_vs_WT||chr1:33909224:34307662:+:NM_001276764||10:0||gene:1000:1000||Dst:+:33908224:34308662||34175707, 34175813, 34176967, 34177886, 34178652, 34179810, 34180435, 34181629||",3.0326594235799997,1.84323791344,-0.4878779957524449,0.0373096795130192
"chr1:34012824:34307662:+:NM_134448||13:0||gene:1000:1000||Dst:+:34011824:34308662||34150574, 34151002, 34151850, 34153235, 34155005, 34156740, 34156927, 34158922, 34159988||Neil1_vs_WT||chr1:34012824:34307662:+:NM_134448||13:0||gene:1000:1000||Dst:+:34011824:34308662||34150574, 34151002, 34151850, 34153235, 34155005, 34156740, 34156927, 34158922, 34159988||",3.44835290766,2.16798441164,-0.4559443007883937,0.032165680273904755
"chr1:34012824:34307662:+:NM_134448||10:0||gene:1000:1000||Dst:+:34011824:34308662||34175707, 34175813, 34176967, 34177886, 34178652, 34179810, 34180435, 34181629||Neil1_vs_WT||chr1:34012824:34307662:+:NM_134448||10:0||gene:1000:1000||Dst:+:34011824:34308662||34175707, 34175813, 34176967, 34177886, 34178652, 34179810, 34180435, 34181629||",3.0326594235799997,1.84323791344,-0.4878779957524449,0.0373096795130192
"chr1:34161329:34182903:+:NM_010081||10:0||gene:1000:1000||Dst:+:34160329:34183903||34175707, 34175813, 34176967, 34177886, 34178652, 34179810, 34180435, 34181629||Neil1_vs_WT||chr1:34161329:34182903:+:NM_010081||10:0||gene:1000:1000||Dst:+:34160329:34183903||34175707, 34175813, 34176967, 34177886, 34178652, 34179810, 34180435, 34181629||",3.0326594235799997,1.84323791344,-0.4878779957524449,0.0373096795130192
"chr1:36069399:36105446:+:NM_015818||7:0||gene:1000:1000||Hs6st1:+:36068399:36106446||36082404, 36082424, 36083557, 36083608, 36085929, 36090501, 36093733||Neil1_vs_WT||chr1:36069399:36105446:+:NM_015818||9:0||gene:1000:1000||Hs6st1:+:36068399:36106446||36082404, 36082424, 36083557, 36083608, 36090501||",1.900316694884,1.6223838509689998,-0.157795327929414,0.008365447827768985
"chr1:38176990:38626244:-:NM_001290814||19:0||gene:1000:1000||Aff3:-:38175990:38627244||38534973, 38535693, 38536853, 38536932, 38537276, 38538397, 38540488, 38541685, 38542284, 38543404, 38544669, 38547667||Neil1_vs_WT||chr1:38176990:38626244:-:NM_001290814||19:0||gene:1000:1000||Aff3:-:38175990:38627244||38534973, 38535693, 38536853, 38536932, 38537276, 38538397, 38540488, 38541685, 38543404, 38544669, 38547667||",2.60514967045,1.638825069675,-0.4553865939110365,0.010057682500204196
"chr1:38864872:38897160:-:NM_145142||11:0||gene:1000:1000||Chst10:-:38863872:38898160||38879946, 38881926, 38882790, 38884725, 38885389, 38887395, 38888425, 38891916||Neil1_vs_WT||chr1:38864872:38897160:-:NM_145142||10:0||gene:1000:1000||Chst10:-:38863872:38898160||38882790, 38884725, 38885389, 38887395, 38888425||",2.71887324818,2.13373196167,-0.2411658320451283,0.0334909992694453
"chr1:51750757:51914978:-:NM_001161817||8:0||gene:1000:1000||Myo1b:-:51749757:51915978||51763234, 51763252, 51765640, 51767399, 51767657||Neil1_vs_WT||chr1:51750757:51914978:-:NM_001161817||9:0||gene:1000:1000||Myo1b:-:51749757:51915978||51763252, 51765640, 51767399, 51767657||",3.19864133032,1.725682893721,-0.5982377965317078,0.03271384495187951
"chr1:58279325:58378264:+:NM_001008419||6:0||gene:1000:1000||Aox2:+:58278325:58379264||58344934, 58346375, 58347078, 58347664, 58348928, 58354657||Neil1_vs_WT||chr1:58279325:58378264:+:NM_001008419||11:0||gene:1000:1000||Aox2:+:58278325:58379264||58347078, 58347664, 58348928, 58354657||",2.3798770351900003,1.9816280727085,-0.1826199683959044,0.012063107064778344
