gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Clcn6	negative	down	hyper	DMR_CCGG_gene	gene	-2.35086129366817	0.57997787259	4:148007483:148037767	0
Cux2	negative	down	hyper	DMR_CCGG_gene	gene	-3.21317775121064	1.348939362192	5:121861215:122046825	0
Fstl3	negative	down	hyper	DMR_CCGG_gene	gene	-2.19685446203663	0.268401301386	10:79778273:79781630	0
Mcu	negative	down	hyper	DMR_CCGG_gene	gene	-1.95320863756266	0.696970981224	10:59447983:59615692	0
Pacs2	negative	down	hyper	DMR_CCGG_gene	gene	-1.57196998473862	1.783662483042	12:113015507:113073401	0
Plekha6	negative	down	hyper	DMR_CCGG_gene	gene	-1.13245039626825	1.72272353713	1:133247096:133302435	0
Shc3	negative	down	hyper	DMR_CCGG_gene	gene	-6.7034441914033	0.359807445784	13:51432041:51566084	0
Wnt7b	negative	down	hyper	DMR_CCGG_gene	gene	-1.3169312631291	0.2524036018515	15:85536436:85579729	0
Dot1l	negative	up	hypo	DMR_CCGG_gene	gene	2.08580535161487	-2.216071029135	10:80756205:80793347	0
Elfn2	negative	up	hypo	DMR_CCGG_gene	gene	2.07486478345183	-0.55045591139	15:78671006:78717113	0
Pced1b	negative	up	hypo	DMR_CCGG_gene	gene	1.67786549716135	-0.6692635988005	15:97248106:97384691	0
Srrt	negative	up	hypo	DMR_CCGG_gene	gene	2.23582190857341	-2.41809399132	5:137296703:137306674	0
Npcd	positive	down	hypo	DMR_CCGG_gene	gene	-1.59171284452022	-0.626770329262	15:79787350:79833333	0
1700112E06Rik	positive	up	hyper	DMR_CCGG_gene	gene	3.92531399624032	1.1091333214095	14:22020711:23055088	0
Apba2	positive	up	hyper	DMR_CCGG_gene	gene	1.84891151397401	0.471566437342	7:64502705:64752876	0
Fmnl1	positive	up	hyper	DMR_CCGG_gene	gene	2.92789172480258	0.39944092926	11:103172137:103197900	0
