location	group	ratio
chr1:16103433:16105433	mC_vs_hmC_WT	2.17445767484488
chr1:33837914:33839914	mC_vs_hmC_WT	8.25629741475962
chr1:34010824:34012824	mC_vs_hmC_WT	1.64835608237072
chr1:38128662:38130662	mC_vs_hmC_WT	2.08651022767666
chr1:39576347:39578347	mC_vs_hmC_WT	1.87012237202374
chr1:42696145:42698145	mC_vs_hmC_WT	1.77045193791677
chr1:52726318:52728318	mC_vs_hmC_WT	1.8336550694098
chr1:57405674:57407674	mC_vs_hmC_WT	1.64025348105953
chr1:57405547:57407547	mC_vs_hmC_WT	1.64025348105953
chr1:58651640:58653640	mC_vs_hmC_WT	1.72521439820631
chr1:74283738:74285738	mC_vs_hmC_WT	1.84069750542668
chr1:74284033:74286033	mC_vs_hmC_WT	1.77982604742267
chr1:74950651:74952651	mC_vs_hmC_WT	1.87086549523599
chr1:75218253:75220253	mC_vs_hmC_WT	1.74276036062431
chr1:79760769:79762769	mC_vs_hmC_WT	1.60185798419765
chr1:85893509:85895509	mC_vs_hmC_WT	1.62639716830449
chr1:93511103:93513103	mC_vs_hmC_WT	1.85815123905314
chr1:105662676:105664676	mC_vs_hmC_WT	1.835062262746
chr1:105662860:105664860	mC_vs_hmC_WT	1.835062262746
chr1:105989405:105991405	mC_vs_hmC_WT	1.32331975546651
chr1:120339581:120341581	mC_vs_hmC_WT	2.19224075765706
chr1:128102047:128104047	mC_vs_hmC_WT	1.58451699658251
chr1:128102305:128104305	mC_vs_hmC_WT	1.58451699658251
chr1:129272303:129274303	mC_vs_hmC_WT	2.11782978453174
chr1:159231325:159233325	mC_vs_hmC_WT	1.90871317887662
chr1:165460207:165462207	mC_vs_hmC_WT	2.36455607688686
chr1:171328144:171330144	mC_vs_hmC_WT	2.05975049812836
chr1:172147014:172149014	mC_vs_hmC_WT	1.79843643864862
chr1:182281759:182283759	mC_vs_hmC_WT	1.59248020481237
chr1:184882036:184884036	mC_vs_hmC_WT	2.4943333787146
chr1:189006840:189008840	mC_vs_hmC_WT	2.02230890766299
chr1:191025190:191027190	mC_vs_hmC_WT	1.66072394559542
chr1:191024350:191026350	mC_vs_hmC_WT	1.70399703187629
chr1:191324964:191326964	mC_vs_hmC_WT	1.9506162068726
chr1:191574544:191576544	mC_vs_hmC_WT	1.42577109646853
chr2:3511814:3513814	mC_vs_hmC_WT	3.59882944358847
chr2:3512064:3514064	mC_vs_hmC_WT	3.59882944358847
chr2:14055035:14057035	mC_vs_hmC_WT	1.9763608200076
chr2:17730068:17732068	mC_vs_hmC_WT	2.23394519502231
chr2:18063584:18065584	mC_vs_hmC_WT	1.81248370561562
chr2:18997121:18999121	mC_vs_hmC_WT	1.80981821338272
chr2:19656897:19658897	mC_vs_hmC_WT	1.66121839377259
chr2:19657061:19659061	mC_vs_hmC_WT	1.66121839377259
chr2:25261597:25263597	mC_vs_hmC_WT	1.94148671712071
chr2:29054066:29056066	mC_vs_hmC_WT	1.64831786440379
chr2:29826388:29828388	mC_vs_hmC_WT	2.10371960551452
chr2:29888719:29890719	mC_vs_hmC_WT	1.84274712423379
chr2:29889062:29891062	mC_vs_hmC_WT	1.85826847558789
chr2:30827300:30829300	mC_vs_hmC_WT	3.12638935047734
chr2:31244922:31246922	mC_vs_hmC_WT	1.90253014706769
chr2:32394889:32396889	mC_vs_hmC_WT	1.79496679184987
chr2:32569857:32571857	mC_vs_hmC_WT	1.74935228569541
chr2:32875133:32877133	mC_vs_hmC_WT	1.48005187905374
chr2:32981056:32983056	mC_vs_hmC_WT	1.439074497773
chr2:52675609:52677609	mC_vs_hmC_WT	2.08590153450023
chr2:52675143:52677143	mC_vs_hmC_WT	2.08590153450023
chr2:52674859:52676859	mC_vs_hmC_WT	2.08503608045448
chr2:53190187:53192187	mC_vs_hmC_WT	2.18281779297831
chr2:53191083:53193083	mC_vs_hmC_WT	2.18281779297831
chr2:71366554:71368554	mC_vs_hmC_WT	1.73506272071985
chr2:73213447:73215447	mC_vs_hmC_WT	1.55857259839399
chr2:74667309:74669309	mC_vs_hmC_WT	1.57412964179392
chr2:74674012:74676012	mC_vs_hmC_WT	1.86233662856169
chr2:74690890:74692890	mC_vs_hmC_WT	1.86528609792438
chr2:76646994:76648994	mC_vs_hmC_WT	1.96140026199481
