gene_name	correlation	DE_type	mC_type	catalog	feature	DE_dif	mC_dif	location	distance_to_gene
Tsks	negative	down	hyper	DMR_CCGG_TSS	TSS	-6.24271281457555	0.299903678342	7:44942239:44944239	0
Ankrd13c	negative	up	hypo	DMR_CCGG_TSS	TSS	1.54867465257334	-1.770678215952	3:157946465:157948465	0
Asxl3	negative	up	hypo	DMR_CCGG_TSS	TSS	1.88649222787788	-0.808803878492	18:22344088:22346088	0
Kctd12	negative	up	hypo	DMR_CCGG_TSS	TSS	7.1901606701573	-0.8690760900125	14:102981637:102983637	0
Otud5	negative	up	hypo	DMR_CCGG_TSS	TSS	2.12236836625024	-1.479969995614	X:7840830:7842830	0
Shisa9	negative	up	hypo	DMR_CCGG_TSS	TSS	1.63934109535482	-0.61934016692	16:11983112:11985112	0
Ccdc137	positive	down	hypo	DMR_CCGG_TSS	TSS	-3.26218809666744	-0.644176768699	11:120457128:120459128	0
Cpne7	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.68466147605878	-0.907972266567	8:123116373:123118373	0
Npcd	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.59171284452022	-0.474237421425	15:79833333:79835333	0
Nsun3	positive	down	hypo	DMR_CCGG_TSS	TSS	-2.18348731669141	-0.814355928819	16:62785716:62787716	0
Pacs2	positive	down	hypo	DMR_CCGG_TSS	TSS	-1.57196998473862	-0.853900350902	12:113013507:113015507	0
