chr	start	end	strand	pvalue	qvalue	meth.diff	target.row	dist.to.feature	feature.name	feature.strand
chr1	14503778	14503778	+	5.49085645159687e-07	0.0012139730472499	38.2104342757214	1	-193544	ENSMUST00000168081.8	-
chr1	15359656	15359656	+	1.48735718216117e-06	0.00314261499025524	32.3675738952297	2	-4646	ENSMUST00000193873.1	+
chr1	24704964	24704964	+	2.68189838020507e-13	1.01817800577703e-09	-56.8181818181818	3	-23678	ENSMUST00000187468.1	+
chr1	36855117	36855117	+	3.42419351735475e-06	0.00690553904724895	34.1503267973856	4	16929	ENSMUST00000192008.1	-
chr1	39191843	39191843	+	3.36752691217768e-06	0.00680401528540736	-40	5	-1888	ENSMUST00000173050.7	+
chr1	40628878	40628878	+	4.83156290044271e-07	0.00107547232261036	36.1922596754057	6	-90	ENSMUST00000192454.1	+
chr1	40674230	40674230	+	8.37407462355555e-11	2.52743429934793e-07	-45.5882352941176	7	-6344	ENSMUST00000027231.12	+
chr1	47824201	47824201	+	1.41702691206722e-08	3.57956061152454e-05	-36.2068965517241	8	-72634	ENSMUST00000157392.1	-
chr1	55619789	55619789	+	4.85761862391613e-10	1.37284431167706e-06	-48	9	60331	ENSMUST00000193032.1	+
chr1	57462590	57462590	+	3.70221706012214e-08	9.0692549930952e-05	44.9346405228758	10	-5280	ENSMUST00000157728.1	+
chr1	58432963	58432963	+	2.04457211558942e-07	0.000471483331486169	-56.5217391304348	11	-779	ENSMUST00000186242.1	-
chr1	59847166	59847166	+	7.48959757578352e-07	0.00163451928751379	44.1885964912281	12	-3499	ENSMUST00000190659.1	+
chr1	64309784	64309784	+	2.6046476371966e-07	0.000595170314268461	36.6666666666667	13	-6742	ENSMUST00000190863.1	-
chr1	64464341	64464341	+	1.26223098294593e-06	0.00268806754965147	54.2857142857143	14	-9765	ENSMUST00000187877.1	-
chr1	65009562	65009562	+	8.67061441166219e-07	0.00187838107367891	60.0877192982456	15	6982	ENSMUST00000159896.1	-
chr1	71709999	71709999	+	4.57320143766606e-06	0.00903165052149472	25.2710027100271	16	57	ENSMUST00000191383.1	-
chr1	77699754	77699754	+	2.98791490843958e-07	0.00067903920356072	-29.5454545454545	17	129084	ENSMUST00000185671.1	+
chr1	82861403	82861403	+	2.9188833885113e-06	0.00594298617703459	36.3636363636364	18	21332	ENSMUST00000186043.1	+
chr1	82975243	82975243	+	9.9195861505023e-07	0.00213543986813419	46.969696969697	19	14959	ENSMUST00000223536.1	+
chr1	88825767	88825767	+	1.13503522179646e-09	3.11713410089588e-06	56.5185185185185	20	49644	ENSMUST00000185425.1	-
chr1	89517648	89517648	+	3.35359209800701e-06	0.00677767882949054	38.4024577572965	21	34212	ENSMUST00000192974.1	+
chr1	91697036	91697036	+	4.11469074152803e-07	0.000921896752479813	63.9367816091954	22	85632	ENSMUST00000188800.1	+
chr1	103957223	103957223	+	8.72130761398325e-07	0.00188827666194859	-49.5609756097561	23	232880	ENSMUST00000192862.1	+
chr1	120591503	120591503	+	3.14166520516852e-06	0.00636817049470777	25.4545454545455	24	-10915	ENSMUST00000079721.8	+
chr1	125688084	125688084	+	5.08574636576984e-06	0.00996028926906491	33.0818414322251	25	11091	ENSMUST00000027581.6	+
chr1	129837752	129837752	+	4.72785032712338e-06	0.00930701508563104	-41.2207357859532	26	4606	ENSMUST00000194169.1	+
chr1	133872745	133872745	+	4.29856189851765e-07	0.000961805349338977	-41.9128329297821	27	28583	ENSMUST00000124245.2	-
chr1	134369114	134369114	+	4.86341083007809e-07	0.00108224154454032	-36.0141405214317	28	-7136	ENSMUST00000049470.10	-
chr1	139613550	139613550	+	8.42859259601087e-15	3.74896773209046e-11	63.3919843597263	29	47350	ENSMUST00000170441.3	-
chr1	140570616	140570616	+	1.85034011910471e-07	0.000428859912027653	59.1916558018253	30	57662	ENSMUST00000193606.1	+
chr1	144895818	144895818	+	1.15915544503705e-09	3.17931698185699e-06	-50	31	-57110	ENSMUST00000185254.1	+
chr1	147675928	147675928	+	1.30742819017604e-07	0.000307187407783402	-32.5	32	160204	ENSMUST00000194803.1	+
chr1	150226768	150226768	+	3.04032613739052e-07	0.00069063763157538	34.0425531914894	33	39232	ENSMUST00000121422.1	-
chr1	150362384	150362384	+	4.72808228269932e-06	0.00930701508563104	-28.6328229922106	34	-15614	ENSMUST00000186460.1	-
chr1	151767427	151767427	+	7.09431179650212e-14	2.8497178143067e-10	-66.6666666666667	35	11969	ENSMUST00000191070.1	+
chr1	153952367	153952367	+	1.39160795010674e-10	4.13872716904431e-07	59.1167614586818	36	13143	ENSMUST00000185385.1	+
chr1	154474620	154474620	+	6.48262354562204e-21	6.0716726906601e-17	-70.6896551724138	37	2077	ENSMUST00000188384.1	-
chr1	157392244	157392244	+	1.6173323244958e-14	6.95348821805441e-11	65.0030248033878	38	-7916	ENSMUST00000154261.1	-
chr1	164019118	164019118	+	2.93284569196573e-06	0.00596795770825609	28.9611523352248	39	-12842	ENSMUST00000195691.1	+
chr1	167818864	167818864	+	3.99073259537494e-06	0.00797016443077356	49.4285714285714	40	129309	ENSMUST00000028003.8	+
chr1	172667942	172667942	+	1.07167762368881e-06	0.00229949523686035	31.9230769230769	41	1695	ENSMUST00000073196.3	-
